recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,airline,traveller_type,cabin,year_flown,month_flown,aircraft_0,aircraft_1,aircraft_2,src,dst,via,verified,review_text
yes,8,4,5,4,4,3,5,Air France,Solo Leisure,Business Class,2022,8,A380,,,CDG,IAD,,,"Air France still believes they can load 500 passengers onto an A380 in 30 minutes. Paris CDG to Washington flight left 1 hr late causing me to miss my connection in IAD. I monitored this flight for 30 days and the majority of the time it is late. However, the inflight service was great. Cabin crew were professional, polite and very efficient, service was great. Food left a lot to be desired. The description ""airline food"" was justified on this flight, a little disappointing. Seat comfort was fine for me since I don't like to raise my feet from the floor. All in all it was a pretty good flight."
yes,10,5,5,5,5,5,5,China Southern Airlines,Business,Economy Class,2022,2,A380,,,CAN,SYD,,,"While travelling with a group of disabled persons to Australia, we are taken very good care of by the China Southern Airlines crew from Guangzhou to Sydney on Feb 20th. The attendant was and patient during the flight. Sincere thanks for the crew and we look forward to fly with this airline again."
no,2,1,1,1,1,1,1,United Airlines,Business,Economy Class,2022,8,737,,,San Francisco,Los Angeles,,True," Flew San Francisco to Los Angeles. Another departure, yet again starting with a delay. I intend to post to this site every time I fly United. The comments will not only be made when I have a negative experience, which I hope is the case, but here we are again with a 90 minute flight home. More time spent dealing with the delay than it takes to complete the flight. Supposed to depart at 11.17am, yet here we are on the runway at 11.52pm."
yes,10,5,5,5,5,5,5,China Southern Airlines,Family Leisure,Economy Class,2022,10,A320 , 787,,HKT,YVR,CAN,,Phuket to Vancouver via Guangzhou. First time on China Southern Airlines and a fantastic experience. I fly Canada to South Asia 3-4 times a year. This time I travelled with my two adult daughters and my 7 month grandson. We had a scheduled layover in Guangzhou on the return and were put in a great hotel and had breakfast there. We also had the same flight crew both ways and they were helping out with the baby and checking many times during the 13 hrs flight.
yes,7,4,4,4,1,4,3,Copa Airlines,Solo Leisure,Business Class,2022,4,737,,,PTY,BOG,,True, Panama to Bogota with Copa Airlines. A short 1 hour 10 minutes flight. Departures from Tocumen Airport at a very punctual schedule. Ground staff was kind. Staff at call center for Connect Miles program is helpful and knowledgeable. Business class is pretty basic. Seats are comfortable but they don't have foot rest and onboard entertainment system is very poor. Food was good and wine selection ok.
yes,9,4,5,5,4,4,4,Etihad Airways,Business,Economy Class,2022,7,A330-300,,,PEK,AUH,,True," Beijing to Abu Dhabi (Return) EY889/EY888. Both going and return flights were very comfortable and smooth. I found the FAs to be both professional and warm. Being acknowledged as a Velocity Gold member of Virgin Australia (Etihad's Partner airline) upon boarding by being offered a welcome drink and having my meal order taken prior to take-off, a nice touch. I found the food to be above average and the seats to be comfortable especially along side the pillows which have the option of being split to reshape as flight pillow. IFE was in the form in-seat touch screen sets that worked well and had a number of the latest movies and tv series. Overall a great set of flights."
no,1,3,1,1,1,4,3,United Airlines,Family Leisure,Premium Economy,2022,12,A319,,,LGA,YVR,ORD,True," New York La Guardia to Vancouver via Chicago. The New York to Chicago flight was nice trip and bumpy so service was suspended for safety reasons. Chicago to Vancouver a nasty air crew looking to upset customers. We sat in the third row or first of premium economy. We were ordered shortly after take off not to congregate or line up for toilets in the rear. Since we were up front making it to the toilet without anyone getting in front of you was impossible. Due to this fact I did not drink on aircraft as at 65 it can be painful to wait. We were offered no food as promised for our two hungry boys. They did get a third of a can of Sprite as this was their second long flight they asked for another drink of Sprite. They were refused. My wife asked for water instead politely. I asked for the purser to request an additional sprite as United advertises complimentary beverages. He did deliver. I thanked him profusely but now I was unbeknownst to me a marked man. I sat quietly until I was in dire need of a toilet. There were eight people in first class all sitting comfortably so I quickly used the front toilet. You would think I had threatened the aircraft. When I exited I was berated and demeaned by that same purser and ordered back to my seat. Where else I would go at 36,000 feet in the air was a mystery to me. I complied without incident. I did tell him quietly before landing he was a rude man for embarrassing me for using a toilet. On arrival the pilot came bounding out of the cockpit and had requested security at the gate. A toilet offense had apparently endangered the aircraft in some ridiculous fashion. He proceeded to lie about me talking to staff which had not happened. I was accused of blocking the aisle which had not happened. The security personnel dismissed the incident and we all went home. United is not passenger friendly and rather than attack or correct complaints they attack the complainer."
no,3,1,4,4,5,3,3,Jetblue Airways,Couple Leisure,Economy Class,2022,4,A320,,,Fort Lauderdale,Newark,,False," Fort Lauderdale to Newark. I have always liked this airline, However, this particular flight was a disaster! I always book my ticket noting my Global ID number. On this flight not only was my Global ID number NOT on my ticket, in addition it did not designate an extra leg room seat. As a result I missed out on a seat up front putting me in a window Exit seat which does not recline. It would have been a nice gesture if the ticket agent had told me that fact."
no,3,3,1,1,1,1,3,Pegasus Airlines,Couple Leisure,Economy Class,2022,8,737,,,Tiblisi,Madrid,Istanbul,,"If you expect warm friendly service this is not the airline for you. I mean not even a smile in the 2 flights I took. I saw a boarding passenger asking a flight attendant to point out where he was seating and she just gave him a dirty look. Overall the flights were ok, 30 min delay on both flight which seems to be the norm. I guess they manage to get you from A to B without any kind of style. Nothing compared to TK."
yes,10,4,5,4,3,4,4,United Airlines,Solo Leisure,Business Class,2022,6,B737 A319,,,Houston,Boston,,True," Flew Houston - Boston and return last week with United Airlines. Both flight were on time, both flights had great service and friendly helpful staff. Is there room for improvement? Of course there is, but this time I'm not complaining. B737 and return A319 were clean and crew were excellent. I came in late on Icelandair on my way back and had to run from E to B in BOS and the staff member at the United desk did save my day by issuing my boarding pass and guided me to security so I made my flight back to Houston."
yes,10,4,5,5,4,5,5,Singapore Airlines,Couple Leisure,Economy Class,2018,1,777-200,,,Christchurch,Singapore Return,,False," My wife and I flew this route on May 1st to Singapore, and then Singapore to Christchurch on May 16th. Good flights, great crew, attentive, approachable, Meals great, drinks plentiful, alcoholic and juices, water, tea, coffee etc, A bit rough flying over Australia, captain had seat belt sign on several times, as well as announcements from cabin crew, Very safety conscience. Clean toilets, rubbish removed promptly. A great experience, would fly this top rating airline again."
yes,7,4,4,3,3,4,3,Singapore Airlines,Couple Leisure,Economy Class,2022,8,777-200,,,CPT,USM,SIN,,"Cape Town to Ko Samui via Singapore. The flight departed on time, with staff efficient and friendly. The standard and quantity of food offered has dropped. Staff work very hard, are intelligent and friendly. I found the aircraft to be dated, and the inflight entertainment quite limited. The aircraft was spotless, but again the 70's interior feel, and the lack of a decent IFE offer was disappointing. It reminds of the flights I took in the 90's. The seat was comfortable and the leg room was adequate. The second leg to Samui was a standard quick hop from Singapore with a superior plane and staff."
yes,9,5,5,3,5,4,4,Emirates,Family Leisure,Economy Class,2022,8,777-300ER,,,Bengaluru,Dammam,Dubai,True, Had a really good experience flying with Emirates from Bengaluru to Dammam via Dubai. Both flights were on time. The aircraft used on the BLR-DXB sector was a bit old. The entertainment was amazing but the touch screen was not responsive. The food was not that good to be frank and the cabin crew were very friendly. They gave toys for kids and had special food for them. Flight landed on time but we were parked away from the terminal and the bus took around 30 minutes to arrive at the aircraft. Since I had 5 hrs layover it was not a problem for me. The aircraft used on the DXB-DMM sector was a brand new aircraft and this aircraft was much better than the previous one. The screens were much larger and they were very responsive unlike the previous one but could not do much since it was only a 45 minute flight. The sandwich served was awful. Crew communication on both the sectors was really good and I would love to fly with Emirates again.
no,2,2,2,1,1,2,1,Sunwing Airlines,Couple Leisure,Premium Economy,2022,3,737,,,Edmonton,Varadero,,False," Iâ€™ll start with the flight. Our flight took off at 5:45pm and we landed in Cuba after 1am. We paid extra for the elite plus package. The 3rd row we had on the way down was ideal. We got the first row on the way back, it was the worst, you couldnâ€™t move the arm rest and itâ€™s annoying to have no place to put your bags. On the way down, we had a rowdy, loud couple who never stopped talking. It was annoying until around 11pm and just ignorant after that as it would have been nice to have a little nap given we werenâ€™t getting to our hotel until 3-4am. The flight attendants did nothing to get them to be quiet, rather, they participated in the shenanigans. If I had my kids with me, I would have been extremely upset. On the way back, the same couple was on the plane and were still talking the whole way home. We left Cuba after 3am so everyone wanted to sleep and these people never shut up. Again, no one from sunwing said anything to them. Grow a back bone for your other passengers flight comfort and say something to these people please! As for the resort, it was amazing. However, Sunwing was paid by us for a 7 day stay. We really got more like 6 and a few hours because of the time our flight came in. I would recommend you ask Sunwing about this. Our check in time for our resort was 3pm March 2nd. We hadnâ€™t even left Edmonton until 5:45pm that same day. Our flight home was at 3:35am on March 10th. We had to vacate our room at 12pm on March 9th meaning we had no room to stay in for 11 hours before the bus came to take us to the airport. When we spoke to the resort, they said sometimes when Sunwing does this, they pay for the room or negotiate late check out. They did nothing of the sort. The resort however took care of us and we checked out at 4pm and were offered a courtesy room in case we wanted to freshen up before the flight. That was 100% because we spoke to a wonderful man named Oscar who helps run the resort. When I went to the front desk, they basically said thatâ€™s what sunwing paid for so if we hadnâ€™t found Oscar, we would have been screwed. Iâ€™ve stayed once in Cuba before and had the exact same flight situation but we got to keep our room until we left. This is why I will book through that company in the future. Iâ€™ve had so many issues with Sunwing that I havenâ€™t booked with them in 4 years and I never will again. Theyâ€™re the worst!"
yes,10,5,5,5,5,5,5,Qatar Airways,Family Leisure,Economy Class,2022,1,A350,,,Edinburgh,Lahore,Doha,True," Edinburgh to Lahore via Doha. Best airline. Absolutely brilliant, great helpful staff. The meals served were fantastic and the A350 is a very comfortable and modern plane to travel in."
no,5,4,2,4,4,3,2,Emirates,Solo Leisure,Business Class,2022,11,A380,,,Christchurch,Bangkok,Sydney,True, A disappointing experience. Flew with Emirates on the A380 from Christchurch to Sydney. Had high expectations from my previous flight. Emirates have a fantastic hard product on the A380. Great spacious seat and fantastic entertainment systems. The food onboard the flight was great with a great selection of onboard beverages and well-presented meals. I was very disappointed by the crew and received dull and uninterested service. The staff seemed to have no interest in the guests traveling. The service was efficient but cold. Certainly room for improvement for a so-called leading airline. I would not recommend Emirates if traveling in business class. There are alternative airlines that with great products and personalized service where you will have a more well rounded experience.
no,2,4,4,4,4,1,2,Aer Lingus,Couple Leisure,Business Class,2022,11,A330,,,Los Angeles,Dublin,,True," Los Angeles to Dublin. We initially booked economy round trip for 2 and added assigned seats, baggage fees, upgraded meals and lounge access. The added fees for seats, bags, meals and lounge totaled $551. During the online booking a passenger middle name was place into the last name field, Aer Lingus charged $157 to correct it. We subsequently self upgraded to Business Class which includes normally includes everything we paid additional fees for. Aer Lingus refused to refund the additional fees, stating that was their policy. Also the outbound flight was delayed over 3 hours and my bag was lost on the return trip and took 1 week for it to be delivered even though my name and phone number and address were on my bag. Telephone customer service is almost non-existent, everything has to be processed through their web site. In flight service and comfort good is but before and after the flight is terrible."
no,2,3,3,1,1,2,2,Sunwing Airlines,Couple Leisure,Economy Class,2022,7,737-800,,,Vancouver,Toronto,,True," Flew Vancouver to Toronto with Sunwing. All fine print/policy needs to be reviewed with this airline, there are fees for everything. They will sell you tickets with lower prices than the competition then charge you for your carry-on. This makes the cost a little more expensive than other airlines. Plane was 1.5 hour delayed. Staff are friendly, some are smarmy. They just seem to care about your money. No free onboard entertainment. Food is costly and below average. Their staff and policy needs some human touch. I felt cheated and ripped off."
yes,9,4,5,5,5,5,4,Qatar Airways,Solo Leisure,Business Class,2015,1,A330,,,MCT,SGN,DOH,,"Muscat to Ho Chi Minh City via Doha return on business. Brand new Qatar Airways Boeing 777-300ER on the MCT-DOH leg and an elderly A330-200 between Doha and Ho Chi Minh City. The 777 seats are just fabulous! The A330 was equipped with the older seats which stretch out fully but stay slightly inclined. I was a bit disappointed at first but then noticed that the angle was not to bad. I could sleep very well without sliding down. Food and beverages were of excellent quality throughout, including in the new very large business lounge in DOH. The cabin crew was friendly, always available and helpful but never obtrusive. Check-in swift both in MCT and SGN. I would fly Qatar Airways again."
yes,10,5,5,5,5,5,5,flydubai,Family Leisure,Business Class,2022,3,737-800,,,IKA,DXB,,True," An afternoon flight Tehran to Dubai with flydubai was a pleasant experience. I was very impressed. We departed and arrived on time and the price for this trip was excellent. Very comfortable seat, but they have no bassinet services for infants. Crew very attentive and friendly. Meal was delicious. Inflight entertainment was very good."
yes,7,3,3,4,4,4,4,British Airways,Couple Leisure,Economy Class,2022,1,A320, A380, 777-300,WAW,HKG,LHR,,The British Airways outbound flight from London to Hong Kong was on a 3 year old A380. We sat near the back on the upper deck and were very pleased with how comfortable and smooth it was. On the upper deck there is a cupboard by the window seat which gives more space to put your coats and also doubles up as a shelf to put your drinks. The 5 year old Boeing 777 on the return leg was far more cramped. Also the video screen was faulty and it was difficult to click on the screen. The crew on all flights were fine but nothing special. Just performed their job but never really seemed to go out of their way.
no,1,1,2,1,1,2,1,flydubai,Couple Leisure,Economy Class,2022,2,737-800MAX,,,Dubai,Zanzibar,,False," We had booked a return flight with Emirates, from Glasgow to Zanzibar via Dubai on 27th February and returning on 7th March. After confirming our booking, we found that the 6 hour leg from Dubai to Zanzibar is operated by FlyDubai, which turns out to be a low cost (but not particularly cheap) airline. The Emirates flights to and from Glasgow to Dubai on a 777-300 were excellent in all respects but we can honestly say that in all our years of travelling, the FlyDubai flights in a Boeing 737-800MAX were probably the worst we have ever taken. By booking with Emirates, we not unreasonably expected to get at least a roughly comparable standard of service and amenities. We believe that Emirates should make it clearer when booking that an associated connecting flight is operated by a budget airline, and a poor one at that. There were so many things wrong that itâ€™s difficult to know where to start but here goes: The seats were really very cramped, with a nominal pitch of 30â€ but I suspect that in reality itâ€™s a bit less than this. Furthermore, the seats were quite hard and our backsides started to suffer after a couple of hours. Theyâ€™ve tried to cram in as many passengers as possible and whilst this may be just bearable for short haul flights, itâ€™s a disgrace to use this configuration for what was a long haul flight. It was obvious that many passengers, and more especially the taller ones, were really suffering. The aisle was very narrow, and passengers in aisle seats were being constantly bumped into while trying to sleep. The cabin on both the outbound and return flights was terribly stuffy and airless. Air con was either not working properly, or not set up correctly. People were asking for water but had to pay for it! Absolutely disgraceful! As we were on an Emirates ticket, we were entitled to complimentary meals, but other passengers had to pay. The meals were truly awful and pretty much inedible. In flight entertainment is available but has to be paid for, even for those on an Emirates ticket. FlyDubai operates from Terminal 2 which entails a painfully slow 40 minute bus transfer from Terminal 3 â€“ this is pretty nail-biting if you have a tight connection, as we did. All in all, a horrible experience that we never wish to repeat and we can categorically state that we will never use FlyDubai again, and nor will we book with Emirates if they use them for connecting flights. There are better alternatives."
yes,7,2,5,1,2,4,4,Finnair,Couple Leisure,Economy Class,2016,1,A340,,,NGO,HEL,,,"Flew Finnair from Nagoya to Helsinki. A not fully booked A340. Managed to switch seats to one with a bit more legroom, the one I initially was assigned to was a bit cramped (and I am not that tall) with some kind of PSU taking up valuable space under the seat in front of me. Nice, hard working and friendly cabin crew. The food was very poor. Some kind of bland pork with rice, cold noodles and some green tea pudding. Being situated in the back of the aircraft they had ran out of options when it was my turn, but I doubt the other choice were any better. Second dish was even worse. Some fried rice balls. Not sure if the Asian caterers are up to scratch. IFE was kind of limited with very few interesting titles."
no,1,2,3,2,3,1,1,Emirates,Business,Economy Class,2022,8,777,,,Dubai,Sao Paulo,,True," Dubai to Sao Paulo. Flying experience nothing out of ordinary, but this company doesn't respect customer. They damage my luggage did an agreement in the airport, sent the e-mail with the case. Didn't pay and said case closed. Never replied any e-mail or answer phone call."
yes,9,5,5,5,5,5,5,China Southern Airlines,Couple Leisure,Economy Class,2022,1,A380,,,LAX,MEL,CAN,,"Los Angeles to Melbourne via Guangzhou, and I was quite pleased with China Southern Airlines. The cost was well below other major carriers but the service and comfort did not suffer. Cabins were comfortable and modern, staff were courteous and spoke English when asked. Legroom was very good on the A380 and decent on the A330. Pillows, blankets, and headphones were provided free, which is better than many US carriers. Meals were good with at least two hot meals per flight and a choice of Asian or Western entrees. Beer and wine were available for free in Economy Class alongside the usual beverages. The seatback entertainment selection was large and varied. Although our layover in China was shorter, the airline offers free hotels for waits of more than 8hrs. Ground staff is on hand at the Chinese hubs to assist with transfers between flights. Our checked luggage transferred flawlessly between all legs including domestic US connections. The only minor annoyance was that Delta told us their boarding passes would work for China Southern, but we had to get new ones printed at the gate. I would fly with China Southern again."
no,4,3,3,2,1,1,2,United Airlines,Business,First Class,2022,6,737-900,,,Honolulu,SFO,,,"Terrible plane for that long a flight, Too small - Too noisy! Boeing 737-900 Like most U.S. carriers = the flight attendants are average at best! They spend most of their time socializing with each other and not providing service to passengers. Flying today is just a glorified bus! Passengers are partially to blame, but the airlines are mainly to blame - Baggage fees, paying for meals and drinks, paying for more leg room ""economy plus"". Planes are dirty! Also, United has changed its Frequent Flyer Program and is no longer #1 in my opinion! Loyalty is no longer rewarded. It is all how much you spend for a flight!"
yes,9,5,5,5,4,5,5,China Southern Airlines,Solo Leisure,Economy Class,2022,9,787-9,,,Guangzhou,Beijing,,True," Guangzhou to Beijing on a new Boeing 787-9. This is my first flight on board this type of aircraft. The B787-9 is equipped with Wifi connectivity, free of charge on first come first serve basis. The IFE has high definition screen. Besides that, 3D route path is also available via the IFE. The choice of entertainment are limited as compare to some of the major airlines I had flown. The cabin crew are friendly and helpful. They came to distribute blanket and tower prior to take off. Nowadays, tower is no longer served by many airlines. There were two choices of in flight meal available on board this 2.5 hour flight. The number of choices of beverages served are more than sufficient considered that it is by no means a domestic flight. The overall inflight experience is a comfortable one."
no,3,1,1,1,1,1,3,Emirates,Solo Leisure,Economy Class,2022,3,A380-800 , 777-300ER,,LHR,DAC,DXB,True," London Heathrow to Dhaka via Dubai, returning to Newcastle via Dubai. London Heathrow to Dubai started off well as I only had hand luggage so getting to gate was a breeze thanks to Emirates easy and intuitive mobile check-in. It all went downhill from here though. On boarding was clear my ICE seat back screen was not working or responding. Worse it wouldn't switch off and kept flickering. I informed a member of the cabin crew about the issue but there wasn't a lot of enthusiasm or effort made to help. I asked if could be switched off if it could not be made to work, and never heard anything for the rest of the flight leaving me with flickering screen to contend with for 8 hours which was distracting and didn't really help me sleep on a night flight. I understand things go wrong and am reasonable but its how you handle things that matters. Once over Dubai, landing was delayed and we were put in holding pattern for 1.5 hours due to fog. We were informed that ground staff would be on hand to help those with missed connections and those that had tight ones to make and I was relieved at first to see a lot of staff about. However it seemed they were only helping certain people and when I asked, I got yelled at very disrespecftfully to go look at the departure board. I was left to fend for myself when I only had 20 minutes to get my gate for the flight to Dhaka which was showing as ""Final Call"". Infuriated and out of breath I arrived at the gate just in time to be met with a surly and unapologetic gate staff. I was then shoved on bus in the Dubai heat and we were left there for half an hour without any updates past take-off time. We were then bussed to the cargo terminal where our plane was parked and boarded and then left for a further 45 minutes without much information. The saving grace of the DXB-DAC sector was the crew were quite friendly and warm, and unusually the catering was rather nice. Returning DAC-DXB, even getting into the aiport was a nightmare due the corruption and difficulties that have returned with using Dhaka airport and the use of the local airlines Biman handling team is slow and innefficient. The hassling for money of my elderly mother from her requested assistance was also unwelcome. The flight itself DAC-DXB was uneventful, but the food was atrocious even by Emirates standards - almost inedible. Thas was repeated on the DXB-NCL sector as well. All in all very much going downhill, even the hard product is showing some weariness and there's complacency in improvements on these - the 10 abreast seating on Boeing 777's is horrific. Staff attitude has always been their weak point but it has got particularly bad to the point of contempt, especially when things go wrong. All in all there doesn't seem to be any benefit of flyng Emirates anymore - other carriers do this better now."
no,2,1,3,2,1,4,3,Aer Lingus,Solo Leisure,Economy Class,2022,1,A330,,,BOS,DUB,,True," Boston to Dublin. I hoping to find an alternative to my regular route through London with British Airways. I was really disappointed with Aer Lingus because the plane was incredibly uncomfortable. It was the first flight in years where actually sitting in the seats was deeply uncomfortable. And I do mean seats. I had to move twice as my first seat had a broken headphone connection, the second seat was in a weird location with fixed sides so I couldn't move my hips at all and twisted my back. I was surprised by how many people had major issues with their entertainment screen and I was surprised by how poor it was. The touchscreen was more like ""hit it 4 or 5 times"" screen and watch it go to the wrong thing. I had to use the remote to navigate and it still did not register after 3 times of hitting the button. I gave up after one show because the headphones (a double prong jack so I couldn't use my own headphones) sounded like people talking into a tin can. Everything felt so outdated. I spent a good time out of my seat toward the end of the flight trying to help my back recover. Another bizarre thing was how often they interrupted the entertainment system (or in many people's case sleep) to give inane commentary or play an advert (!) for something Irish or a charity partner. That's find at the end of the flight but in the middle of the night over and over again? It's such a shame as the connection through Dublin was lovely and the short hop to Berlin was just fine, but I just won't be putting my body through that again for long haul."
